Consecutivo de pregunta;Pregunta;Variable homologada;2012;2011;2010;2009;2008;2007;2006;2005;2004;2003;2002;2000;1999;1998;;;
694;¿cuáles serían para Ud. los tres a los que –en su opinión– debería prestarles más atención el próximo alcalde? ;P694;;;;;;P68N2_3;;;;;;;;;;;
695;La Empresa de Acueducto y Alcantarillado  de Bogotá;P695;;;;;;;;;;P69_1;P71_1;;;;;;
696;La Empresa de Acueducto y Alcantarillado  de Bogotá;P696;;;;;;;;;;P70_1;P72_1;;;;;;
697;La Empresa de Acueducto y Alcantarillado  de Bogotá;P697;;;;;;;;;;P71_1;P73_1;;;;;;
698;La Empresa de Teléfonos de Bogotá;P698;;;;;;;;;;P69_2;P71_2;;;;;;
699;La Empresa de Teléfonos de Bogotá;P699;;;;;;;;;;P70_2;P72_2;;;;;;
700;La Empresa de Teléfonos de Bogotá;P700;;;;;;;;;;P71_2;P73_2;;;;;;
701;El Instituto Distrital para la Recreación y el Deporte;P701;;;;;;;;;;P69_3;P71_3;;;;;;
702;El Instituto Distrital para la Recreación y el Deporte;P702;;;;;;;;;;P70_3;P72_3;;;;;;
703;El Instituto Distrital para la Recreación y el Deporte;P703;;;;;;;;;;P71_3;P73_3;;;;;;
704;El IDU, Instituto de Desarrollo Urbano;P704;;;;;;;;;;P69_4;P71_4;;;;;;
705;El IDU, Instituto de Desarrollo Urbano;P705;;;;;;;;;;P70_4;P72_4;;;;;;
706;El IDU, Instituto de Desarrollo Urbano;P706;;;;;;;;;;P71_4;P73_4;;;;;;
707;El Concejo de Bogotá;P707;;;;;;;;;;P69_5;P71_5;;;;;;
708;El Concejo de Bogotá;P708;;;;;;;;;;P70_5;P72_5;;;;;;
709;El Concejo de Bogotá;P709;;;;;;;;;;P71_5;P73_5;;;;;;
710;Secretaría de Educación;P710;;;;;;;;;;P69_6;P71_6;;;;;;
711;Secretaría de Educación;P711;;;;;;;;;;P70_6;P72_6;;;;;;
712;Secretaría de Educación;P712;;;;;;;;;;P71_6;P73_6;;;;;;
713;Secretaría de Salud;P713;;;;;;;;;;P69_7;P71_7;;;;;;
714;Secretaría de Salud;P714;;;;;;;;;;P70_7;P72_7;;;;;;
715;Secretaría de Salud;P715;;;;;;;;;;P71_7;P73_7;;;;;;
716;Secretaría de Gobierno;P716;;;;;;;;;;P69_8;P71_8;;;;;;
717;Secretaría de Gobierno;P717;;;;;;;;;;P70_8;P72_8;;;;;;
718;Secretaría de Gobierno;P718;;;;;;;;;;P71_8;P73_8;;;;;;
719;Secretaría de Tránsito y Transporte;P719;;;;;;;;;;P69_9;P71_9;;;;;;
720;Secretaría de Tránsito y Transporte;P720;;;;;;;;;;P70_9;P72_9;;;;;;
721;Secretaría de Tránsito y Transporte;P721;;;;;;;;;;P71_9;P73_9;;;;;;
722;Secretaría de Hacienda;P722;;;;;;;;;;P69_10;P71_10;;;;;;
723;Secretaría de Hacienda;P723;;;;;;;;;;P70_10;P72_10;;;;;;
724;Secretaría de Hacienda;P724;;;;;;;;;;P71_10;P73_10;;;;;;
725;Alcaldías Locales;P725;;;;;;;;;;P69_11;P71_11;;;;;;
726;Alcaldías Locales;P726;;;;;;;;;;P70_11;P72_11;;;;;;
727;Alcaldías Locales;P727;;;;;;;;;;P71_11;P73_11;;;;;;
728;Juntas Administradoras Locales, JAL;P728;;;;;;;;;;P69_12;P71_12;;;;;;
729;Juntas Administradoras Locales, JAL;P729;;;;;;;;;;P70_12;P72_12;;;;;;
730;Juntas Administradoras Locales, JAL;P730;;;;;;;;;;P71_12;P73_12;;;;;;
731;TransMilenio;P731;;;;;;;;;;P69_13;P71_13;;;;;;
732;TransMilenio;P732;;;;;;;;;;P70_13;P72_13;;;;;;
733;TransMilenio;P733;;;;;;;;;;P71_13;P73_13;;;;;;
734;Planeación Distrital;P734;;;;;;;;;;P69_14;P71_14;;;;;;
735;Planeación Distrital;P735;;;;;;;;;;P70_14;P72_14;;;;;;
736;Planeación Distrital;P736;;;;;;;;;;P71_14;P73_14;;;;;;
737;El Departamento Administrativo del Medio Ambiente – DAMA;P737;;;;;;;;;;P69_15;P71_15;;;;;;
738;El Departamento Administrativo del Medio Ambiente – DAMA;P738;;;;;;;;;;P70_15;P72_15;;;;;;
739;El Departamento Administrativo del Medio Ambiente – DAMA;P739;;;;;;;;;;P71_15;P73_15;;;;;;
740;Acción Comunal;P740;;;;;;;;;;P69_16;P71_16;;;;;;
741;Acción Comunal;P741;;;;;;;;;;P70_16;P72_16;;;;;;
742;Acción Comunal;P742;;;;;;;;;;P71_16;P73_16;;;;;;
743;Policía Metropolitana de Bogotá;P743;;;;;;;;;;P69_17;P71_17;;;;;;
744;Policía Metropolitana de Bogotá;P744;;;;;;;;;;P70_17;P72_17;;;;;;
745;Policía Metropolitana de Bogotá;P745;;;;;;;;;;P71_17;P73_17;;;;;;
746;Instituto Distrital de Cultura y Turismo;P746;;;;;;;;;;P69_18;P71_18;;;;;;
747;Instituto Distrital de Cultura y Turismo;P747;;;;;;;;;;P70_18;P72_18;;;;;;
748;Instituto Distrital de Cultura y Turismo;P748;;;;;;;;;;P71_18;P73_18;;;;;;
749;Bienestar social del Distrito (DABS);P749;;;;;;;;;;P69_19;P71_19;;;;;;
750;Bienestar social del Distrito (DABS);P750;;;;;;;;;;P70_19;P72_19;;;;;;
751;Bienestar social del Distrito (DABS);P751;;;;;;;;;;P71_19;P73_19;;;;;;
752;CODENSA, la Empresa de Energía de Bogotá;P752;;;;;;;;;;P69_20;P71_20;;;;;;
753;CODENSA, la Empresa de Energía de Bogotá;P753;;;;;;;;;;P70_20;P72_20;;;;;;
754;CODENSA, la Empresa de Energía de Bogotá;P754;;;;;;;;;;P71_20;P73_20;;;;;;
755;Personería Distrital;P755;;;;;;;;;;P69_21;P71_21;;;;;;
756;Personería Distrital;P756;;;;;;;;;;P70_21;P72_21;;;;;;
757;Personería Distrital;P757;;;;;;;;;;P71_21;P73_21;;;;;;
758;Contraloría Distrital;P758;;;;;;;;;;P69_22;P71_22;;;;;;
759;Contraloría Distrital;P759;;;;;;;;;;P70_22;P72_22;;;;;;
760;Contraloría Distrital;P760;;;;;;;;;;P71_22;P73_22;;;;;;
761;CADES;P761;;;;;;;;;;P69_23;P71_23;;;;;;
762;CADES;P762;;;;;;;;;;P70_23;P72_23;;;;;;
763;CADES;P763;;;;;;;;;;P71_23;P73_23;;;;;;
764;Secretaría General de la Alcaldía;P764;;;;;;;;;;P69_24;P71_24;;;;;;
765;Secretaría General de la Alcaldía;P765;;;;;;;;;;P70_24;P72_24;;;;;;
766;Secretaría General de la Alcaldía;P766;;;;;;;;;;P71_24;P73_24;;;;;;
767;Caja de Vivienda Popular;P767;;;;;;;;;;P69_25;P71_25;;;;;;
768;Caja de Vivienda Popular;P768;;;;;;;;;;P70_25;P72_25;;;;;;
769;Caja de Vivienda Popular;P769;;;;;;;;;;P71_25;P73_25;;;;;;
770;Renovación Urbana;P770;;;;;;;;;;P69_26;P71_26;;;;;;
771;Renovación Urbana;P771;;;;;;;;;;P70_26;P72_26;;;;;;
772;Renovación Urbana;P772;;;;;;;;;;P71_26;P73_26;;;;;;
773;Veeduría Distrital;P773;;;;;;;;;;P69_27;P71_27;;;;;;
774;Veeduría Distrital;P774;;;;;;;;;;P70_27;P72_27;;;;;;
775;Veeduría Distrital;P775;;;;;;;;;;P71_27;P73_27;;;;;;
776;Metrovivienda;P776;;;;;;;;;;P69_28;P71_28;;;;;;
777;Metrovivienda;P777;;;;;;;;;;P70_28;P72_28;;;;;;
778;Metrovivienda;P778;;;;;;;;;;P71_28;P73_28;;;;;;
779;Nombramientos de funcionarios públicos;P779;;;;;;;;;;;P74_A;;;;;;
780;Contratación de obras y proyectos;P780;;;;;;;;;;;P74_B;;;;;;
781;Interventorías de obras y proyectos;P781;;;;;;;;;;;P74_C;;;;;;
782;Presentación de resultados de gestión;P782;;;;;;;;;;;P74_D;;;;;;
783;La ciudad necesita más recursos para seguir creciendo. ;P783;;;;;;;;;;;P75_A;;;;;;
784;Para que la ciudad cuente con más recursos se debe cobrar el servicio de alumbrado público a los usuarios. ;P784;;;;;;;;;;;P75_B;;;;;;
785;Para que la ciudad cuente con más recursos se deben incrementar las tarifas de industria y comercio que deben pagar las empresas y negocios de la ciudad.;P785;;;;;;;;;;;P75_C;;;;;;
786;Para que la ciudad cuente con más recursos se debe cobrar a todos los predios de la ciudad el impuesto predial, acabando con la evasión de ese impuesto. ;P786;;;;;;;;;;;P75_D;;;;;;
787;Para que la ciudad cuente con más recursos debería pedir préstamos a entidades financieras nacionales o internacionales. ;P787;;;;;;;;;;;P75_E;;;;;;
788;Para que la ciudad cuente con más recursos debería vender algunas de las empresas del distrito como la ETB . ;P788;;;;;;;;;;;P75_F;;;;;;
789;¿En cuáles de los siguientes aspectos diría Ud. que ha estado trabajando la administración de Antanas Mockus?;P789;;;;;;;;;;P72;P76;;;;;;
790;Ejecución de planes de desarrollo de su localidad;P790;;;;;;;;;;P73_1;P77_1;;;;;;
791;Seguridad ciudadana;P791;;;;;;;;;;P73_2;P77_2;;;;;;
792;Convivencia y solidaridad ciudadana;P792;;;;;;;;;;P73_3;P77_3;;;;;;
793;Educación pública;P793;;;;;;;;;;P73_4;P77_4;;;;;;
794;Servicio de salud pública;P794;;;;;;;;;;P73_5;P77_5;;;;;;
795;Vivienda de interés social;P795;;;;;;;;;;P73_6;P77_6;;;;;;
796;Productividad económica de la ciudad;P796;;;;;;;;;;P73_7;P77_7;;;;;;
797;Generación de empleo;P797;;;;;;;;;;P73_8;P77_8;;;;;;
798;Acceso a los servicios públicos domiciliarios para los más necesitados;P798;;;;;;;;;;P73_9;P77_9;;;;;;
799;Calidad de los servicios públicos domiciliarios;P799;;;;;;;;;;P73_10;P77_10;;;;;;
800;Estado de las vías;P800;;;;;;;;;;P73_11;P77_11;;;;;;
801;Servicio de transporte público;P801;;;;;;;;;;P73_12;P77_12;;;;;;
802;Manejo del tránsito de la ciudad;P802;;;;;;;;;;P73_13;P77_13;;;;;;
803;Parques y zonas verdes;P803;;;;;;;;;;P73_14;P77_14;;;;;;
804;Descontaminación de la ciudad;P804;;;;;;;;;;P73_15;P77_15;;;;;;
805;Eficiencia de las instituciones públicas;P805;;;;;;;;;;P73_16;P77_16;;;;;;
806;Acceso a cultura, recreación y deporte;P806;;;;;;;;;;P73_17;P77_17;;;;;;
807;Arborización de la ciudad;P807;;;;;;;;;;P73_18;P77_18;;;;;;
808;Alumbrado público;P808;;;;;;;;;;P73_19;P77_19;;;;;;
809;Apoyo a las familias;P809;;;;;;;;;;P73_20;P77_20;;;;;;
810;Apoyo a la niñez;P810;;;;;;;;;;P73_21;P77_21;;;;;;
811;Apoyo a las mujeres cabeza de familia;P811;;;;;;;;;;P73_22;P77_22;;;;;;
812;Reforma tributaria;P812;;;;;;;;;;P73_23;P77_23;;;;;;
813;Ajuste de plantas de funcionarios del Distrito;P813;;;;;;;;;;P73_24;P77_24;;;;;;
814;El programa de atención a indigentes o habitantes de la calle;P814;;;;;;;;;;P73_25;P77_26;;;;;;
815;La construcción del parque Tercer Milenio (antigua Calle del Cartucho);P815;;;;;;;;;;P73_26;P77_27;;;;;;
816;La atención a la población desplazada en la ciudad;P816;;;;;;;;;;P73_27;P77_28;;;;;;
817;El mejoramiento de la atención al ciudadano en sus trámites ante las empresas de servicios públicos, y otras entidades del distrito;P817;;;;;;;;;;P73_28;;;;;;;
818;¿qué tanto cree que los siguientes problemas ambientales afectan su salud y la de su familia? MA1_1;P818;MV21;;;;;;;;;;;;;;;;
819;¿qué tanto cree que los siguientes problemas ambientales afectan su salud y la de su familia? MA1_2;P819;EP1;;;;;;;;;;;;;;;;
820;¿qué tanto cree que los siguientes problemas ambientales afectan su salud y la de su familia? MA1_3;P820;;MA1_1;;P99_A;;;;;;;;;;;;;
821;¿qué tanto cree que los siguientes problemas ambientales afectan su salud y la de su familia? MA1_4;P821;;MA1_2;;P99_B;;;;;;;;;;;;;
822;¿qué tanto cree que los siguientes problemas ambientales afectan su salud y la de su familia? MA1_5;P822;;MA1_3;;P99_C;;;;;;;;;;;;;
823;La contaminación del aire;P823;;MA1_6;;P99_F;;;;;;;;;;;;;
824;"La contaminación del agua; ríos, humedales, quebradas";P824;;MA1_7;;P99_G;;;;;;;;;;;;;
825;El nivel de ruido de la ciudad;P825;MA3_1;MA3_1;MA1_1;P100A;P99A;;;;;;;;;;;;
826;La cantidad de árboles en la ciudad;P826;MA3_2;MA3_2;MA1_2;P100B;P99B;;;;;;;;;;;;
827;La contaminación visual de la ciudad;P827;MA3_3;MA3_3;MA1_3;P100C;P99C;;;;;;;;;;;;
828;Las basuras en las calles;P828;MA3_4;MA3_4;MA1_4;P100D;P99D;;;;;;;;;;;;
829;Los escombros en las calles;P829;MA3_5;MA3_5;MA1_5;P100E;P99E;;;;;;;;;;;;
830;La contaminación del aire;P830;MA3_6;MA3_6;MA1_6;P100F;P99F;;;;;;;;;;;;
831;"La contaminación del agua; ríos, humedales, quebradas";P831;MA3_7;MA3_7;MA1_7;P100G;P99G;;;;;;;;;;;;
832;El nivel de ruido de la ciudad;P832;;;MA3_1;P101_A;P100A;;;;;;;;;;;;
833;La cantidad de árboles en la ciudad;P833;;;MA3_2;P101_B;P100B;;;;;;;;;;;;
834;La contaminación visual de la ciudad;P834;;;MA3_3;P101_C;P100C;;;;;;;;;;;;
835;Las basuras en las calles;P835;;;MA3_4;P101_D;P100D;;;;;;;;;;;;
836;Los escombros en las calles;P836;;;MA3_5;P101_E;P100E;;;;;;;;;;;;
837;La contaminación del aire;P837;;;MA3_6;P101_F;P100F;;;;;;;;;;;;
838;"La contaminación del agua; ríos, humedales, quebradas";P838;;;MA3_7;P101_G;P100G;;;;;;;;;;;;
839;El nivel de ruido de la ciudad;P839;;;;;P101A;;;;;;;;;;;;
840;La cantidad de árboles en la ciudad;P840;;;;;P101B;;;;;;;;;;;;
841;La contaminación visual de la ciudad;P841;;;;;P101C;;;;;;;;;;;;
842;Las basuras en las calles;P842;;;;;P101D;;;;;;;;;;;;
843;Los escombros en las calles;P843;;;;;P101E;;;;;;;;;;;;
844;¿cuáles cree Usted que son los TRES problemas ambientales más graves?;P844;;;;;P101F;;;;;;;;;;;;
845;El gobierno debería ATACAR fuertemente las diferentes fuentes de contaminación de la ciudad, aunque eso signifique usar la ley para cambiar el comportamiento de la gente;P845;;;;;P101G;;;;;;;;;;;;
846;Usted haría más cosas para reducir la contaminación de la ciudad, si otras personas también lo hicieran;P846;MA4;MA4;MA4;P102;P102;;;;;;;;;;;;
847;Usted está preparado(a) a cambiar su comportamiento para reducir la contaminación de la ciudad;P847;;;;P103_A;P103A;;;;;;;;;;;;
848;Usted estaría dispuesto a pagar algún tipo de contribución, dirigida a reducir los niveles de contaminación ambiental;P848;;;;P103_B;P103B;;;;;;;;;;;;
849;¿qué tanto cree que las autoridades locales están preparadas para responder ante la emergencia?;P849;;;;P103_C;P103C;;;;;;;;;;;;
850;¿qué tan preparado se siente Ud. para responder ante un terremoto en Bogotá?;P850;;;;P103_D;P103D;;;;;;;;;;;;
851;¿Sabe Usted qué es el cambio climático? ;P851;;;MA6;;;;;;;;;;;;;;
852;¿qué tanto cree Usted que el cambio climático afecta su calidad de vida actualmente?;P852;;;MA7;;;;;;;;;;;;;;
853;En su opinión, el cambio climático es _____ ;P853;MA8;MA8;;;;;;;;;;;;;;;
854;Es un problema que ha incrementado la crisis del medio ambiente que estamos viendo en todo el mundo;P854;MA9;;;;;;;;;;;;;;;;
855;Es un problema que afecta principalmente a los países más pobres porque están menos preparados para afrontar los desastres ambientales que ocasiona;P855;;MA9;;;;;;;;;;;;;;;
856;Es un problema que está poniendo al descubierto la ineficiencia de las autoridades ambientales para cuidar los recursos naturales;P856;;MA10_1;;;;;;;;;;;;;;;
857;¿Cree Usted que el cambio climático es un problema que afecta su calidad de vida? ;P857;;MA10_2;;;;;;;;;;;;;;;
858;¿qué tanto cree Usted que el gobierno de Bogotá está haciendo cosas para disminuir el impacto del cambio climático?;P858;;MA10_3;;;;;;;;;;;;;;;
859;La mayor parte de lo que se oye sobre el cambio climático es exagerado;P859;;MA11;;;;;;;;;;;;;;;
860;Los políticos hacen escándalo sobre el cambio climático para distraernos de otros temas;P860;MA12;MA12;;;;;;;;;;;;;;;
861;El cambio climático no es necesariamente algo malo para el planeta;P861;MA13A_1;;;;;;;;;;;;;;;;
862;Yo no voy a hacer cambios en mi estilo de vida por causa del cambio climático cuando no creo que algunos otros países, como Estados Unidos y China, estén haciendo lo suficiente para enfrentar el problema;P862;MA13A_2;;;;;;;;;;;;;;;;
863;El cambio climático significa que Bogotá tendrá un mejor clima y más sol;P863;MA13A_3;;;;;;;;;;;;;;;;
864;¿Cuáles de las acciones contenidas en esta tarjeta realiza usted y su familia para ayudar a cuidar el ambiente en Bogotá? ;P864;MA13A_4;;;;;;;;;;;;;;;;
865;En caso de que ocurriera un desastre natural en Bogotá, y usando las opciones de esta tarjeta donde 1 es nada y 5 es mucho, ¿qué tanto cree que las autoridades locales están preparadas para responder ante la emergencia?;P865;MA13A_5;;;;;;;;;;;;;;;;
866;¿qué tanto conoce Usted las recomendaciones a tener en cuenta para afrontar desastres naturales?;P866;MA13;MA13;;;;;;;;;;;;;;;
867;¿qué tan probable cree Usted que pueda ser víctima de un desastre de origen natural en Bogotá? ;P867;MA14;MA14;;;;;;;;;;;;;;;
868;¿Cuál es el tipo de desastre natural al que usted se considera más expuesto en Bogotá?;P868;MA15;MA15;;;;;;;;;;;;;;;
869;Con respecto a generación de empleo, ¿cuál de estas propuestas escogería?;P869;MA16;MA16;;;;;;;;;;;;;;;
870;Con respecto a fortalecimiento de la seguridad, ¿cuál de estas propuestas escogería? ;P870;MA17;MA17;;;;;;;;;;;;;;;
871;Con respecto a la calidad y cobertura de la educación, ¿cuál de estas propuestas escogería?;P871;;MC1;;;;;;;;;;;;;;;
872;Con respecto a la calidad y cobertura de la salud, ¿cuál de estas propuestas escogería? ;P872;;MC2;;;;;;;;;;;;;;;
873;Con respecto al mejoramiento de la movilidad vial, ¿cuál de estas propuestas escogería? ;P873;;MC3;;;;;;;;;;;;;;;
874;Con respecto al incremento y calidad del espacio público, ¿cuál de estas propuestas escogería?;P874;;MC4;;;;;;;;;;;;;;;
875;Con respecto a la atención a poblaciones vulnerables y pobres, ¿cuál de estas propuestas escogería? ;P875;;MC5;;;;;;;;;;;;;;;
876;Con respecto almejoramiento de los servicios públicos, ¿cuál de estas propuestas escogería?;P876;;MC6;;;;;;;;;;;;;;;
877;Con respecto al mejoramiento dela oferta de vivienda, ¿cuál de estas propuestas escogería?;P877;;MC7;;;;;;;;;;;;;;;
878;Con respecto al fortalecimiento de la cultura y la responsabilidad ciudadana, ¿cuál de estas propuestas escogería?;P878;;MC8;;;;;;;;;;;;;;;
879;Con respecto al cuidado del ambientey mitigación del impacto del cambio climático, ¿cuál de estas propuestas escogería?;P879;;MC9;;;;;;;;;;;;;;;
880;Con respecto al mejoramiento de la gestión pública y el servicio al ciudadano, ¿cuál de estas propuestas escogería?;P880;;MC10;;;;;;;;;;;;;;;
881;Con respecto a la gestión de losingresos de la ciudad para invertir en nuevos proyectos, ¿cuál de estas propuestas escogería? ;P881;;MC11;;;;;;;;;;;;;;;
882;Con respecto alfortalecimiento de la participación ciudadana, ¿cuál de estas propuestas escogería? ;P882;;MC12;;;;;;;;;;;;;;;
883;Con respecto a la mayor transparencia en la administración y la lucha contra la corrupción, ¿cuál de estas propuestas escogería?;P883;;MC13;;;;;;;;;;;;;;;
884;Con respecto al desarrollo regional ciudad-región, ¿cuál de estas propuestas escogería? ;P884;;MC14;;;;;;;;;;;;;;;
885;Con respecto a recreación y deporte, ¿cuál de estas propuestas escogería? ;P885;;MC15;;;;;;;;;;;;;;;
886;Con respecto al desarrollo económico de la ciudad, ¿cuál de estas propuestas escogería?;P886;;MC16;;;;;;;;;;;;;;;
887;Con respecto a la equidad y reducción de la discriminación, ¿cuál de estas propuestas escogería? ;P887;;MC17;;;;;;;;;;;;;;;
888;Con respecto a la administración local y la descentralización, ¿cuál de estas propuestas escogería?;P888;;MC18;;;;;;;;;;;;;;;
889;¿Cuál sería el primero, el más importante;P889;;MC19;;;;;;;;;;;;;;;
890;cuál sería el segundo;P890;;MC20;;;;;;;;;;;;;;;
891;y cuál sería el tercero? ;P891;;MC21_1;;;;;;;;;;;;;;;
892;Sí en este momento se fuera a elegir un nuevo alcalde para Bogotá, ¿cuáles de los aspectos que aparecen en esta tarjeta serían las tres más importantes por las que Usted tome la decisión de elegir a un candidato?;P892;;MC21_2;;;;;;;;;;;;;;;
893;CADES;P893;;MC21_3;;;;;;;;;;;;;;;
894;Canal Capital;P894;;MC22;;;;;;;;;;;;;;;
895;CODENSA;P895;GP1_1;;;;;;;;;;;;;;;;
896;Dirección Local de Educación - DILE (antes CADEL);P896;GP1_2;;;;;;;;;;;;;;;;
897;Empresa de Acueducto y Alcantarillado de Bogotá EAAB;P897;GP1_3;;;;;;;;;;;;;;;;
898;Empresa de Energía de Bogotá S.A. EEB ESP;P898;GP1_4;;;;;;;;;;;;;;;;
899;Empresa de Telecomunicaciones de Bogotá S.A. ETB ESP;P899;GP1_5;;;;;;;;;;;;;;;;
900;Gas Natural;P900;GP1_6;;;;;;;;;;;;;;;;
901;Instituto Distrital de Recreación y Deporte IDRD;P901;GP1_7;;;;;;;;;;;;;;;;
902;"Jardín Botánico ""José Celestino Mutis""";P902;GP1_8;;;;;;;;;;;;;;;;
903;Orquesta Filarmónica de Bogotá;P903;GP1_9;;;;;;;;;;;;;;;;
904;Policía Metropolitana de Bogotá;P904;GP1_10;;;;;;;;;;;;;;;;
905;Red de bibliotecas públicas/ BIBLORED;P905;GP1_11;;;;;;;;;;;;;;;;
906;Secretaría de Educación del Distrito;P906;GP1_12;;;;;;;;;;;;;;;;
907;Secretaría de Movilidad;P907;GP1_13;;;;;;;;;;;;;;;;
908;Secretaría Distrital de Ambiente;P908;GP1_14;;;;;;;;;;;;;;;;
909;Secretaría Distrital de Cultura, Recreación y Deporte;P909;GP1_15;;;;;;;;;;;;;;;;
910;Secretaría Distrital de Desarrollo Económico;P910;GP1_16;;;;;;;;;;;;;;;;
911;Secretaría Distrital de Gobierno;P911;GP1_17;;;;;;;;;;;;;;;;
912;Secretaría Distrital de Hacienda;P912;GP1_18;;;;;;;;;;;;;;;;
913;Secretaría Distrital de Integración Social;P913;GP1_19;;;;;;;;;;;;;;;;
914;Secretaría Distrital de Planeación;P914;GP1_20;;;;;;;;;;;;;;;;
915;Secretaría Distrital de Salud;P915;GP1_21;;;;;;;;;;;;;;;;
916;Secretaría Distrital del Hábitat;P916;GP1_22;;;;;;;;;;;;;;;;
917;Secretaría General;P917;GP1_23;;;;;;;;;;;;;;;;
918;Súpercades;P918;GP1_24;;;;;;;;;;;;;;;;
919;Terminal de Transporte S.A.;P919;GP1_25;;;;;;;;;;;;;;;;
920;Universidad Distrital Francisco José de Caldas;P920;GP1_26;;;;;;;;;;;;;;;;
921;CADES;P921;GP1_27;;;;;;;;;;;;;;;;
922;Canal Capital;P922;GP1_28;;;;;;;;;;;;;;;;
923;CODENSA;P923;GP2_1;;;;;;;;;;;;;;;;
924;Dirección Local de Educación - DILE (antes CADEL);P924;GP2_2;;;;;;;;;;;;;;;;
925;Empresa de Acueducto y Alcantarillado de Bogotá EAAB;P925;GP2_3;;;;;;;;;;;;;;;;
926;Empresa de Energía de Bogotá S.A. EEB ESP;P926;GP2_4;;;;;;;;;;;;;;;;
927;Empresa de Telecomunicaciones de Bogotá S.A. ETB ESP;P927;GP2_5;;;;;;;;;;;;;;;;
928;Gas Natural;P928;GP2_6;;;;;;;;;;;;;;;;
929;Instituto Distrital de Recreación y Deporte IDRD;P929;GP2_7;;;;;;;;;;;;;;;;
930;"Jardín Botánico ""José Celestino Mutis""";P930;GP2_8;;;;;;;;;;;;;;;;
931;Orquesta Filarmónica de Bogotá;P931;GP2_9;;;;;;;;;;;;;;;;
932;Policía Metropolitana de Bogotá;P932;GP2_10;;;;;;;;;;;;;;;;
933;Red de bibliotecas públicas/ BIBLORED;P933;GP2_11;;;;;;;;;;;;;;;;
934;Secretaría de Educación del Distrito;P934;GP2_12;;;;;;;;;;;;;;;;
935;Secretaría de Movilidad;P935;GP2_13;;;;;;;;;;;;;;;;
936;Secretaría Distrital de Ambiente;P936;GP2_14;;;;;;;;;;;;;;;;
937;Secretaría Distrital de Cultura, Recreación y Deporte;P937;GP2_15;;;;;;;;;;;;;;;;
938;Secretaría Distrital de Desarrollo Económico;P938;GP2_16;;;;;;;;;;;;;;;;
939;Secretaría Distrital de Gobierno;P939;GP2_17;;;;;;;;;;;;;;;;
940;Secretaría Distrital de Hacienda;P940;GP2_18;;;;;;;;;;;;;;;;
941;Secretaría Distrital de Integración Social;P941;GP2_19;;;;;;;;;;;;;;;;
942;Secretaría Distrital de Planeación;P942;GP2_20;;;;;;;;;;;;;;;;
943;Secretaría Distrital de Salud;P943;GP2_21;;;;;;;;;;;;;;;;
944;Secretaría Distrital del Hábitat;P944;GP2_22;;;;;;;;;;;;;;;;
945;Secretaría General;P945;GP2_23;;;;;;;;;;;;;;;;
946;Súpercades;P946;GP2_24;;;;;;;;;;;;;;;;
947;Terminal de Transporte S.A.;P947;GP2_25;;;;;;;;;;;;;;;;
948;Universidad Distrital Francisco José de Caldas;P948;GP2_26;;;;;;;;;;;;;;;;
949;CADES;P949;GP2_27;;;;;;;;;;;;;;;;
950;Canal Capital;P950;GP2_28;;;;;;;;;;;;;;;;
951;CODENSA;P951;GP3_1;;;;;;;;;;;;;;;;
952;Dirección Local de Educación - DILE (antes CADEL);P952;GP3_2;;;;;;;;;;;;;;;;
953;Empresa de Acueducto y Alcantarillado de Bogotá EAAB;P953;GP3_3;;;;;;;;;;;;;;;;
954;Empresa de Energía de Bogotá S.A. EEB ESP;P954;GP3_4;;;;;;;;;;;;;;;;
955;Empresa de Telecomunicaciones de Bogotá S.A. ETB ESP;P955;GP3_5;;;;;;;;;;;;;;;;
956;Gas Natural;P956;GP3_6;;;;;;;;;;;;;;;;
957;Instituto Distrital de Recreación y Deporte IDRD;P957;GP3_7;;;;;;;;;;;;;;;;
958;"Jardín Botánico ""José Celestino Mutis""";P958;GP3_8;;;;;;;;;;;;;;;;
959;Orquesta Filarmónica de Bogotá;P959;GP3_9;;;;;;;;;;;;;;;;
960;Policía Metropolitana de Bogotá;P960;GP3_10;;;;;;;;;;;;;;;;
961;Red de bibliotecas públicas/ BIBLORED;P961;GP3_11;;;;;;;;;;;;;;;;
962;Secretaría de Educación del Distrito;P962;GP3_12;;;;;;;;;;;;;;;;
963;Secretaría de Movilidad;P963;GP3_13;;;;;;;;;;;;;;;;
964;Secretaría Distrital de Ambiente;P964;GP3_14;;;;;;;;;;;;;;;;
965;Secretaría Distrital de Cultura, Recreación y Deporte;P965;GP3_15;;;;;;;;;;;;;;;;
966;Secretaría Distrital de Desarrollo Económico;P966;GP3_16;;;;;;;;;;;;;;;;
967;Secretaría Distrital de Gobierno;P967;GP3_17;;;;;;;;;;;;;;;;
968;Secretaría Distrital de Hacienda;P968;GP3_18;;;;;;;;;;;;;;;;
969;Secretaría Distrital de Integración Social;P969;GP3_19;;;;;;;;;;;;;;;;
970;Secretaría Distrital de Planeación;P970;GP3_20;;;;;;;;;;;;;;;;
971;Secretaría Distrital de Salud;P971;GP3_21;;;;;;;;;;;;;;;;
972;Secretaría Distrital del Hábitat;P972;GP3_22;;;;;;;;;;;;;;;;
973;Secretaría General;P973;GP3_23;;;;;;;;;;;;;;;;
974;Súpercades;P974;GP3_24;;;;;;;;;;;;;;;;
975;Terminal de Transporte S.A.;P975;GP3_25;;;;;;;;;;;;;;;;
